DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1200,Metoprolol,DDInter8,Abiraterone,Moderate
DDInter1206,Mexiletine,DDInter8,Abiraterone,Moderate
DDInter1213,Midodrine,DDInter8,Abiraterone,Moderate
DDInter1228,Mipomersen,DDInter8,Abiraterone,Major
DDInter1271,Nebivolol,DDInter8,Abiraterone,Moderate
DDInter1471,Pindolol,DDInter8,Abiraterone,Moderate
DDInter1523,Probucol,DDInter8,Abiraterone,Moderate
DDInter1524,Procainamide,DDInter8,Abiraterone,Major
DDInter1534,Propafenone,DDInter8,Abiraterone,Moderate
DDInter1539,Propranolol,DDInter8,Abiraterone,Moderate
DDInter1556,Quinidine,DDInter8,Abiraterone,Major
DDInter1570,Ranolazine,DDInter8,Abiraterone,Moderate
DDInter1704,Sotalol,DDInter8,Abiraterone,Major
DDInter1707,Spironolactone,DDInter8,Abiraterone,Moderate
DDInter1809,Timolol,DDInter8,Abiraterone,Moderate
DDInter1810,Timolol (ophthalmic),DDInter8,Abiraterone,Moderate
DDInter1836,Torasemide,DDInter8,Abiraterone,Moderate
DDInter225,Botulinum toxin type A,DDInter575,Disopyramide,Moderate
DDInter76,Amiodarone,DDInter1377,Paclitaxel,Moderate
DDInter133,Atorvastatin,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter192,Bepridil,Moderate
DDInter223,Bosentan,DDInter1377,Paclitaxel,Moderate
DDInter305,Carvedilol,DDInter1377,Paclitaxel,Moderate
DDInter341,Cerivastatin,DDInter1377,Paclitaxel,Moderate
DDInter438,Conivaptan,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter513,Dexamethasone,Moderate
DDInter561,Diltiazem,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter602,Dronedarone,Moderate
DDInter769,Fluvastatin,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter812,Gemfibrozil,Moderate
DDInter1377,Paclitaxel,DDInter882,Hydralazine,Moderate
DDInter1377,Paclitaxel,DDInter1085,Lomitapide,Moderate
