entity_b_id,generic_name,canonical_name,aliases,drug_class,flags,metabolic_pathways,transporter_substrates,therapeutic_index_tier,narrow_therapeutic_index,route,dosage_form,rxcui,pubchem_cid,label_source,curation_status
sys_med_0053,Naproxen,Naproxen,naproxen sodium,nsaid_systemic,cox1_cox2_inhibitor|cyp1a2_substrate|cyp2c9_substrate,CYP1A2|CYP2C9,,low,False,systemic,unspecified_systemic,7258,,DrugBank DB00788,source_partial
sys_med_0054,Celecoxib,Celecoxib,celecoxib,nsaid_systemic,cox2_inhibitor|cyp2c9_substrate,CYP2C9,,low,False,systemic,unspecified_systemic,140587,,DrugBank DB00482,source_partial
sys_med_0055,Prednisone,Prednisone,prednisone systemic,corticosteroid_systemic,corticosteroid_systemic|cyp3a4_substrate|glucocorticoid_receptor_agonist,CYP3A4,,low,False,systemic,unspecified_systemic,8640,,DrugBank DB00635,source_partial
sys_med_0056,Methylprednisolone,Methylprednisolone,methylprednisolone systemic,corticosteroid_systemic,corticosteroid_systemic|cyp3a4_substrate|glucocorticoid_receptor_agonist,CYP3A4,,low,False,systemic,unspecified_systemic,6902,,DrugBank DB00959,source_partial
sys_med_0057,Dexamethasone systemic,Dexamethasone systemic,dexamethasone systemic,corticosteroid_systemic,corticosteroid_systemic|cyp3a4_inducer|cyp3a4_substrate|glucocorticoid_receptor_agonist,CYP3A4,,low,False,systemic,unspecified_systemic,,,DrugBank DB01234,source_partial
sys_med_0058,Methotrexate,Methotrexate,methotrexate,immunosuppressant_systemic,dhfr_inhibitor|narrow_therapeutic_index,,,high,True,systemic,unspecified_systemic,6851,,DrugBank DB00563,source_partial
sys_med_0059,Cyclosporine systemic,Cyclosporine systemic,cyclosporine A systemic,immunosuppressant_systemic,calcineurin_inhibitor|cyp3a4_substrate|p_gp_substrate,CYP3A4,P-glycoprotein,medium,False,systemic,unspecified_systemic,,,DrugBank DB00091,source_partial
sys_med_0060,Tacrolimus systemic,Tacrolimus systemic,tacrolimus systemic,immunosuppressant_systemic,calcineurin_inhibitor|cyp3a4_substrate|p_gp_substrate,CYP3A4,P-glycoprotein,medium,False,systemic,unspecified_systemic,,,DrugBank DB00800,source_partial
sys_med_0061,Clarithromycin,Clarithromycin,clarithromycin,antibiotic_macrolide_systemic,50S_inhibitor|cyp3a4_inhibitor|p_gp_inhibitor,CYP3A4,P-glycoprotein,low,False,systemic,unspecified_systemic,21212,,DrugBank DB01211,source_partial
sys_med_0062,Rifampicin,Rifampicin,rifampin|rifampicin,antibiotic_ansamycin,cyp3a4_inducer|p_gp_inducer|rna_polymerase_inhibitor,CYP3A4,P-glycoprotein,low,False,systemic,unspecified_systemic,9384,,DrugBank DB01045,source_partial
sys_med_0063,Fluconazole systemic,Fluconazole systemic,fluconazole systemic,antifungal_azole_systemic,cyp2c19_inhibitor|cyp2c9_inhibitor|cyp51_inhibitor,CYP2C9|CYP2C19,,low,False,systemic,unspecified_systemic,,,DrugBank DB00196,source_partial
sys_med_0064,Itraconazole,Itraconazole,itraconazole,antifungal_azole_systemic,cyp3a4_inhibitor|cyp51_inhibitor|p_gp_inhibitor,CYP3A4,P-glycoprotein,low,False,systemic,unspecified_systemic,28031,,DrugBank DB01167,source_partial
sys_med_0065,Omeprazole,Omeprazole,omeprazole,proton_pump_inhibitor,cyp2c19_inhibitor|cyp3a4_substrate|h_k_atpase_inhibitor,CYP2C19|CYP3A4,,low,False,systemic,unspecified_systemic,7646,,DrugBank DB00338,source_partial
sys_med_0066,Levothyroxine,Levothyroxine,levothyroxine sodium|T4,thyroid_hormone,thyroid_hormone_receptor_agonist,,,medium,False,systemic,unspecified_systemic,10582,,DrugBank DB00451,source_partial
sys_med_0067,Salbutamol,Salbutamol,albuterol|salbutamol,respiratory_beta2_agonist,beta2_adrenergic_agonist,,,low,False,systemic,unspecified_systemic,435,,DrugBank DB01001,source_partial
sys_med_0068,Fluticasone,Fluticasone,fluticasone propionate,respiratory_corticosteroid,corticosteroid_systemic|cyp3a4_substrate|glucocorticoid_receptor_agonist,CYP3A4,,low,False,systemic,unspecified_systemic,41126,,DrugBank DB00588,source_partial
